Product Name,Total Quantity
Phyllanthus fluitans (Red root Floater) 1-2-Grow,6
Eleocharis pusilla 'Mini' 1-2-Grow (Dwarf Hair Grass),5
Algae Eaters Pack - 6,4
Premium Neocaridina Community Pack - 6,4
Micranthemum tweediei 'Monte Carlo' 1-2-Grow,3
Almond Leaves - 10,3
Premium Neocaridina Community Pack - 12,2
Staurogyne repens 1-2-Grow,2
Algae Eaters Pack - 12,2
Subwassertang,2
Duckweed,2
Vesicularia dubyana 'Christmas Moss ' 1-2-Grow,2
Anubias Barteri var. nana 1-2-Grow,1
Extreme Blue Bolt,1
Caridina & Neocaridina Community Pack - 12,1
TrueTemp Digital Thermometer,1
Anubias Barteri var. nana,1
Nano Aquascape Starter Kit,1
Marsilea hirsuta 1-2-Grow,1
